,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Charms,Flying,b
Mean,1.1410195296768058,-0.38786349744178583,3.1539096732863516,-224.5899148634645,495.747970059158,2.9630946151165927,1030.0969463871315,5.9503729927800775,-243.3744090125,21.958012499999985,
Std,5.2180162261386736,5.211132259349998,4.153969710726384,486.1894330848615,106.25120223070012,4.424353177154478,44.111025138058615,3.146851589354909,8.780894559533113,97.6010874237569,
Slytherin,-1.1064090031504006,1.4730614181960913,-2.2662833297077394,-0.46733001387704703,-0.9668013900200894,0.33282853099567244,0.05591345562839754,0.5306712256948181,-0.654031818834957,-0.7994585025976663,-4.216294478736792
Ravenclaw,0.9821625738049247,1.3938641019878772,0.44989056526345167,2.1596614281209083,1.4412576302346416,-0.35031098151344975,0.5908407115614246,-1.2123198880268877,1.4616604626486445,-0.4681315359890514,-3.2290392524055065
Gryffindor,-1.0174356436912582,-0.7053350205597108,1.3723096129463535,-0.00920378971073126,1.1396376776079606,-1.1951545590234312,-1.6103131012375278,-0.9833504671439597,-0.3521700983825296,1.1992755517778353,-6.284601106329064
Hufflepuff,2.0728722762662457,-2.7017168862966106,1.4910040921636414,-1.652202427845893,-1.4883966759267566,1.3009121737865095,0.7495344613327569,0.40812874611095096,-0.12609987970070435,0.07016323578559121,-1.9936795206273596
