,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Charms,Flying,b
Mean,1.1410195296768058,-0.38786349744178583,3.1539096732863516,-224.5899148634645,495.747970059158,2.9630946151165927,1030.0969463871315,5.9503729927800775,-243.3744090125,21.958012499999985,
Std,5.2180162261386736,5.211132259349998,4.153969710726384,486.1894330848615,106.25120223070012,4.424353177154478,44.111025138058615,3.146851589354909,8.780894559533113,97.6010874237569,
Slytherin,-0.7290198802590567,0.7139147621108414,-1.1782091974257574,-0.2598450601748823,-0.3717091177585594,0.026449987835330757,0.18271398649883447,0.5086579055649437,-0.4289041282587343,-0.3982060309476073,-1.863440199079931
Ravenclaw,0.36897974413927015,0.8309138266827939,0.23138665114550813,1.1110493148159581,0.875373569943989,0.07181658338309732,0.13250149146947723,0.046545269577530295,0.9243184179504369,-0.06105536051166478,-1.2799819235206444
Gryffindor,-0.6893580108342576,-0.21845041645694074,0.2475165060616998,-0.15081344553943327,0.6410404318082252,-0.7682005774172135,-0.8460706866310413,-0.21003506922465212,-0.3771721723186951,0.757920437302186,-1.5815675095959758
Hufflepuff,0.9701966104816969,-1.2907081487931622,0.659843730877854,-0.7027326328797889,-1.0735129799610748,0.5648223924239327,0.4997787609324517,-0.4005052149777742,-0.1807525886621485,-0.29366900333394663,-1.0440104424980825
