,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Charms,Flying,b
Mean,1.1410195296768058,-0.38786349744178583,3.1539096732863516,-224.5899148634645,495.747970059158,2.9630946151165927,1030.0969463871315,5.9503729927800775,-243.3744090125,21.958012499999985,
Std,5.2180162261386736,5.211132259349998,4.153969710726384,486.1894330848615,106.25120223070012,4.424353177154478,44.111025138058615,3.146851589354909,8.780894559533113,97.6010874237569,
Slytherin,-0.42217490615667347,0.4594298513774198,-0.6833877610203598,-0.1699913841891181,-0.24494974962638635,0.09049759005100169,0.16921525214394978,0.4731633235260547,-0.18109904585201997,-0.2315448533325824,-2.565909196292716
Ravenclaw,0.31522822380553306,0.4658001615947641,0.09216872787496463,0.7118645223198061,0.48984406318541196,0.10080148791234902,0.13489951613643938,0.012094024696535786,0.5534750322688278,-0.09511067243347374,-1.818186290595686
Gryffindor,-0.4674056554321125,-0.19728073878814228,0.11438034356649074,-0.12030333301262613,0.39016820358105825,-0.5422231744066335,-0.5773597905525663,-0.15004341466920348,-0.31029136690910386,0.5361966528747524,-2.1484646797931957
Hufflepuff,0.6028573885205653,-0.7218726481031807,0.39636158098738444,-0.5072727243000201,-0.6975860210148579,0.38679742360410674,0.3339803137547661,-0.261928373434961,-0.09046756231790554,-0.23433326554507405,-0.8345254427493021
